b3_opp_dak_schuin_values
260.73
84.69
70.31
143.38
4958.75
29.8
138.65
66.66
20.09
101.19
32.36
124.4
2.93
47.38
80.53
80.62
69.0
121.33
3.47
9.35
67.32
45.02
124.27
34.25
54.36
70.86
1345.57
105.01
72.6
62.82
10.3
79.64
51.71
90.15
59.96
72.36
112.02
81.02
6.2
39.61
9.4
131.85
13.74
50.66
60.6
69.0
76.23
75.18
75.05
62.5
8.93
19.19
75.09
72.49
82.6
157.61
53.52
43.95
146.84
1.46
78.69
35.5
158.49
105.83
80.66
87.3
81.45
61.33
54.89
7.33
12.62
74.28
63.32
71.17
56.02
77.48
58.61
61.2
59.53
44.84
36.84
8.42
17.67
134.41
6.27
71.18
98.91
81.4
222.61
107.05
58.56
138.65
126.51
76.24
10.0
14.99
84.94
26.52
40.84
152.52
52.14
100.5
153.51
33.61
72.05
7.1
61.4
35.14
88.97
8.19
59.15
73.54
68.25
24.9
137.06
130.12
72.02
65.12
66.36
6.9
8.16
2.75
64.99
74.91
117.85
128.44
20.09
6.54
184.41
136.97
2.33
11.91
41.7
50.92
66.88
6.27
53.68
92.48
82.58
2.81
64.41
6.79
3.85
97.93
56.29
89.21
6.98
37.05
63.44
55.35
65.06
71.76
14.19
139.36
94.5
119.78
16.06
106.28
65.32
82.97
372.77
14.65
53.13
19.83
10.19
80.05
9.26
101.75
99.67
2.58
151.41
494.12
173.4
8.69
260.35
89.27
13.58
59.28
72.02
16.06
7.53
5.78
24.23
10.27
21.06
98.49
36.49
57.36
136.97
74.04
131.56
115.92
78.15
67.19
41.7
168.73
151.62
2.39
10.38
5.57
80.5
10.48
54.12
152.69
202.48
221.31
50.13
47.46
141.73
20.85
4.85
47.26
6.26
80.53
25.56
55.57
80.42
151.62
18.39
52.16
3.55
43.23
9.21
9.95
14.7
21.8
77.88
10.25
108.37
99.02
63.15
52.81
13.28
81.88
143.16
102.71
60.85
46.75
140.39
11.5
671.76
66.64
52.62
39.38
95.74
72.49
129.54
63.29
54.4
3.57
147.11
94.43
16.55
81.15
62.63
67.36
61.79
56.04
71.33
177.13
41.1
72.21
75.95
75.02
62.96
90.53
66.68
179.98
92.78
124.38
59.23
59.53
80.51
74.43
18.95
36.3
54.04
28.42
61.6
62.61
86.79
37.69
102.25
94.43
76.28
80.55
7.44
162.71
138.64
91.52
39.74
5.89
123.65
36.38
10.78
9.0
62.15
42.95
84.24
66.86
8.69
72.49
90.73
7.3
75.23
77.56
75.5
108.86
32.89
4.74
7.4
4.46
9.37
36.26
16.22
6.55
58.78
15.94
23.6
89.1
59.25
14.52
17.1
307.22
123.82
1941.56
61.79
6.74
48.84
118.1
15.96
79.27
93.43
113.62
103.04
6.43
6.54
60.14
54.4
10.04
55.22
46.75
119.78
67.26
122.15
4.04
20.21
